Општина,Школа,Мин. бодова,Укупно места,Преостало места
Сремска Митровица,"Средња техничка школа ""Никола Тесла"", Сремска Митровица",42.35,75,16
Стара Пазова,"Гимназија ""Бранко Радичевић"", Стара Пазова",50.24,120,13
Стара Пазова,"Економско-трговинска школа ""Вук Караџић"", Стара Пазова",47.67,45,12
Стара Пазова,"Техничка школа , Стара Пазова",41.91,180,72
Стари град,"Електротехничка школа ""Стари Град"", Београд (Стари Град)",45.15,30,17
Стари град,"Техничка школа ""Дрво арт"", Београд (Стари Град)",41.5,30,16
Стари град,"Трговачка школа, Београд (Стари Град)",41.84,240,93
Суботица,"Гимназија ""Светозар Марковић"", Суботица",61.75,110,46
Суботица,"Гимназија за талентоване ученике ""Деже Костолањи"" , Суботица",67.88,20,5
Суботица,"Економска средња школа ""Боса Милићевић"", Суботица",41.03,105,38
Суботица,"Политехничка школа, Суботица",44.9,180,92
Суботица,"Средња медицинска школа, Суботица",60.7,60,21
Суботица,"Техничка школа ""Иван Сарић"", Суботица",40.42,165,85
Суботица,"Хемијско-технолошка школа, Суботица",46.09,210,88
Сурдулица,"Гимназија ""Светозар Марковић"", Сурдулица",65.41,60,21
Сурдулица,"Пољопривредно-шумарска школа ""Јосиф Панчић"", Сурдулица",37.88,75,28
Сурдулица,"Техничка школа ""Никола Тесла"", Сурдулица",53.89,30,4
Темерин,"Средња школа ""Лукијан Мушицки"", Темерин",37.87,180,104
Тител,"Средња техничка школа ""Милева Марић""  , Тител",42.38,105,62
Топола,"Средња школа ""Краљ Петар I"", Топола (Варошица)",50.29,120,78
Трговиште,"Средња стручна школа ""Милутин Бојић"", Трговиште",61.08,30,23
Трстеник,"Гимназија ""Вук Караџић"", Трстеник",54.53,90,23
Трстеник,"Техничка школа Трстеник, Трстеник",43.97,150,57
Тутин,"Гимназија, Тутин",50.03,90,12
Тутин,"Техничка школа , Тутин",36.15,150,99
Ћуприја,"Гимназија, Ћуприја",52.25,90,34
Ћуприја,"Техничка школа , Ћуприја",43.55,60,44
Уб,"Гимназија ""Бранислав Петронијевић"", Уб",61.25,60,19
Уб,"Техничка школа ""Уб"", Уб",42.34,75,15
Ужице,"Техничка школа ""Радоје Љубичић"", Ужице",43.71,30,3
Ужице,"Техничка школа , Ужице",43.42,90,45
Црвени крст,"Грађевинска техничка школа ""Неимар"", Ниш (Црвени Крст)",36.42,90,45
Црвени крст,"Електротехничка школа ""Никола Тесла"", Ниш (Црвени Крст)",47.05,90,25
Црвени крст,"Средња стручна школа, Ниш (Црвени Крст)",38.57,120,40
Црна Трава,"Техничка школа са домом ученика ""Милентије Поповић"", Црна Трава",50.32,30,16
Чајетина,"Угоститељско-туристичка школа, Чајетина",43.51,120,74
Чачак,"Гимназија, Чачак",53.97,270,12
Чачак,"Економска школа, Чачак",44.82,30,12
Чачак,"Машинско-саобраћајна школа, Чачак",41.97,60,24
Чачак,"Прехрамбено-угоститељска школа, Чачак",42.74,75,23
